SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.250475587,65,0,1963.0,,5,0,2,0,0.0
0,0.97540246,58,0,0.049441245999999994,5905.0,1,0,0,0,0.0
0,0.0,82,0,0.000932836,3215.0,10,0,0,0,0.0
0,0.571490656,36,0,0.11386353800000001,2300.0,6,1,0,0,0.0
0,0.410499489,45,0,0.47857234200000004,7816.0,11,0,1,0,1.0
0,0.534543064,63,0,0.232685631,16416.0,11,0,3,0,0.0
0,0.982225514,52,0,0.804941482,3075.0,8,0,2,0,1.0
0,0.0,52,1,0.452927215,7583.0,11,0,3,0,0.0
0,0.086377971,51,0,0.21946342300000002,6000.0,5,0,2,0,3.0
1,0.9999998999999999,50,2,0.128019783,5256.0,1,0,0,1,0.0
1,0.833379133,56,0,0.49425727399999997,7835.0,10,0,1,0,1.0
0,0.01086862,43,0,1062.0,,2,0,1,0,
0,0.0,36,0,0.24311143600000001,4100.0,7,0,1,0,0.0
0,0.050523499000000006,61,0,0.47340673,6448.0,10,0,2,0,3.0
0,0.568473683,57,0,0.8226520620000001,4290.0,8,0,1,0,1.0
0,0.534764349,52,0,0.429829891,6583.0,9,0,2,0,3.0
0,1.218945935,44,3,0.494635741,9786.0,16,0,2,0,0.0
0,0.843257837,60,0,0.46249654,7225.0,6,0,2,0,3.0
0,0.99440112,48,1,0.7876593279999999,3451.0,5,0,2,0,2.0
0,0.01669833,51,0,0.048822124,5857.0,5,0,0,0,0.0
0,0.19484732300000002,72,0,0.18507338399999998,9606.0,21,0,2,0,0.0
0,0.0,61,0,0.0,,5,0,0,0,1.0
0,0.163142106,56,0,0.13462179300000002,3000.0,5,0,1,0,0.0
0,0.0,45,0,0.403704026,11500.0,6,0,1,0,2.0
0,0.32176998,34,0,0.387317323,11700.0,13,0,1,0,0.0
0,0.392249233,50,0,2455.0,,8,0,2,0,0.0
0,0.9704011840000001,39,0,0.603159498,5253.0,5,0,1,0,3.0
0,0.006193149,41,2,14508.0,,7,0,3,0,1.0
0,0.9999998999999999,67,0,0.0,,0,0,0,0,0.0
0,0.6172046999999999,62,1,0.36319124399999997,3471.0,17,0,0,0,2.0
0,0.562306991,47,2,0.231284236,11500.0,12,0,2,0,2.0
0,0.01478545,69,0,34.0,,6,0,0,0,0.0
0,0.579772046,42,0,0.482827609,5997.0,10,0,1,0,1.0
0,0.051168885,45,0,0.004887803,4500.0,1,0,0,0,0.0
0,0.428382755,36,0,0.2706115,6573.0,12,0,1,0,0.0
0,0.0,63,0,0.0,8466.0,8,0,0,0,0.0
0,0.065927612,66,0,0.22155568899999997,5000.0,4,0,1,0,0.0
0,0.22355224399999998,48,0,616.0,,18,0,0,0,0.0
0,0.0,54,0,101.0,,6,0,1,0,0.0
0,0.0017405570000000002,60,0,1112.0,,12,0,2,0,0.0
0,0.388996447,38,0,0.532610727,5350.0,7,0,2,0,1.0
0,0.072744668,71,1,1778.0,,11,0,1,0,0.0
0,0.034432905,66,0,1243.0,,6,0,1,0,0.0
0,0.0,35,0,0.325949854,6500.0,7,0,1,0,2.0
0,0.6385617929999999,49,0,0.5685145189999999,12500.0,25,1,6,0,0.0
0,0.44897006899999997,60,0,0.360734065,9208.0,5,0,2,0,0.0
0,0.142911704,42,0,0.029132908,5800.0,4,0,0,0,3.0
0,0.19527702100000002,24,0,6.0,,5,0,0,0,
0,0.0,44,0,0.098951675,3910.0,3,0,0,0,1.0
0,0.542593344,71,0,0.42060085799999997,5125.0,13,0,0,0,0.0
0,0.075662361,63,0,0.315812527,6848.0,7,0,2,0,0.0
0,0.9999998999999999,75,0,20.0,,3,0,0,0,0.0
0,0.01589841,75,0,539.0,,5,0,1,0,0.0
0,0.435320307,53,0,0.205989111,4407.0,9,0,0,0,1.0
0,0.29277469899999997,67,1,0.528127459,5083.0,8,0,3,0,2.0
0,0.031687043,57,0,0.0051860890000000005,9833.0,4,0,0,0,1.0
0,0.112535546,39,0,0.702131673,5300.0,5,0,2,0,2.0
1,0.808881781,48,4,0.8516423359999999,10959.0,23,2,2,2,3.0
0,0.033827266,71,0,0.128490401,4583.0,5,0,0,0,1.0
0,0.0,41,0,0.5556820029999999,6150.0,11,0,2,0,2.0
0,0.112174565,53,0,2058.0,,5,0,2,0,1.0
0,0.698405644,35,0,0.373862696,4835.0,5,0,1,0,0.0
0,0.031854149,45,0,0.27368158,4000.0,7,0,1,0,0.0
0,0.9999998999999999,59,0,0.21361276699999998,5200.0,5,0,1,0,1.0
0,0.0,58,0,1.19032387,2500.0,13,0,1,0,0.0
0,0.07192169400000001,69,0,0.23057112600000002,6600.0,5,0,1,0,1.0
0,0.634175692,62,0,7019.0,,24,0,6,0,0.0
0,0.111826441,37,0,0.133137543,6128.0,9,0,1,0,0.0
0,0.069344201,51,1,0.29337725,8500.0,8,0,1,0,2.0
0,0.0,75,0,0.026204565,2365.0,15,0,0,0,0.0
0,0.038408509,63,0,591.0,,8,0,1,0,0.0
0,0.137391238,56,0,3.905414668,1458.0,11,0,1,0,5.0
1,0.99064306,68,2,518.0,,6,0,0,0,0.0
0,0.292150436,50,0,0.401047828,5916.0,9,0,1,0,1.0
0,1.010249744,54,0,0.43809155899999996,5176.0,4,0,1,0,0.0
0,0.142571447,35,0,0.195451137,4000.0,4,0,0,0,0.0
0,0.019226474,83,0,0.0073546309999999995,4350.0,4,0,0,0,0.0
1,0.885410514,49,4,0.386295929,12083.0,15,0,2,0,2.0
0,0.9961283040000001,50,1,0.583292383,6104.0,6,0,0,0,1.0
0,0.021690077999999998,57,0,0.18524247800000002,12928.0,14,0,1,0,0.0
0,0.043349437000000005,64,1,0.342299578,7583.0,11,0,3,0,0.0
0,0.043380467,70,0,0.10275,15999.0,13,0,1,0,0.0
0,0.065053572,72,0,0.351932863,11200.0,20,0,1,0,0.0
0,0.6038792239999999,54,0,0.8230884559999999,2000.0,6,0,1,1,0.0
1,0.9999998999999999,45,0,0.20892418199999999,5288.0,8,0,0,0,1.0
0,0.007410623000000001,40,0,0.45602440299999997,5900.0,9,0,2,0,4.0
0,0.12705508599999998,81,0,0.42648342100000003,4583.0,13,0,1,0,0.0
0,0.043659554,55,0,0.027588964,2500.0,2,0,0,0,0.0
0,0.025114599999999997,50,0,70.0,,7,0,0,0,0.0
0,0.31243008699999997,31,0,0.590612503,4750.0,11,0,1,0,0.0
0,0.017473552,42,0,0.10067229800000001,5800.0,7,0,0,0,2.0
0,0.040296208,61,0,2901.0,0.0,7,0,3,0,0.0
0,0.497031436,32,0,0.34195738700000006,8541.0,15,0,2,0,0.0
0,0.000716045,76,0,0.00026864900000000004,11166.0,9,0,0,0,0.0
0,0.345861655,40,0,0.15964141,11600.0,8,0,1,0,2.0
0,0.013331556000000001,30,0,0.278046727,4750.0,4,0,1,0,0.0
0,0.86115993,51,4,2137.0,,17,0,1,0,1.0
0,0.049142381,36,0,0.31930238699999997,7625.0,11,0,2,0,0.0
0,0.115090353,37,0,0.34510999,10500.0,14,0,2,0,0.0
0,0.31655041,34,0,0.240901213,7500.0,12,0,2,0,0.0
0,0.303279146,31,1,0.08130623099999999,3000.0,6,0,0,0,0.0
0,0.0,39,0,64.0,,4,0,0,0,0.0
0,0.39053985700000005,52,0,0.435865131,16667.0,11,0,2,0,4.0
0,0.173294224,39,0,0.083174257,3666.0,5,0,0,0,1.0
0,0.09116002,62,0,112.0,,4,0,0,0,
1,0.619251642,28,0,1.672363391,4446.0,12,0,5,0,0.0
0,0.22900821100000002,78,1,0.521153441,4750.0,19,0,2,1,0.0
0,0.0,51,0,0.46313552399999997,6116.0,6,0,2,0,0.0
0,0.776351971,47,0,0.39031805399999997,4275.0,9,0,2,0,3.0
0,0.561052232,36,0,0.362192394,8939.0,15,0,2,0,0.0
0,0.193349915,44,0,0.10505294400000001,10765.0,13,0,0,0,0.0
1,1.180995475,51,2,571.0,,5,3,0,1,
0,0.9999998999999999,32,0,0.0,3000.0,0,0,0,0,0.0
0,0.14925617800000002,41,0,0.131986801,10000.0,5,0,1,0,3.0
0,0.286659589,54,0,0.48793029600000004,7000.0,13,0,2,0,1.0
0,0.768952115,41,0,4224.0,,9,0,2,0,2.0
0,0.03852119,33,0,230.0,,9,0,0,0,1.0
0,0.084686518,48,0,0.392967942,2900.0,7,0,2,0,1.0
0,0.155526431,47,0,0.198758932,5317.0,11,0,1,0,3.0
0,0.147742613,50,0,0.176616915,6833.0,2,0,1,0,0.0
0,0.023992085,58,0,0.613951266,6278.0,12,0,4,0,0.0
0,0.008901034,46,0,0.395760424,10000.0,23,0,3,0,0.0
0,0.0,80,0,0.0,,3,0,0,0,0.0
0,0.6241633360000001,65,0,6736.0,,18,0,4,0,0.0
0,0.04104725,50,0,0.273550153,9500.0,9,0,1,0,1.0
0,0.760174855,50,0,0.35129210899999996,8667.0,7,0,1,0,0.0
0,0.084744407,67,1,0.628145387,2145.0,10,0,1,0,0.0
0,0.900026309,34,2,0.18788591600000001,3400.0,3,0,0,0,0.0
0,0.0,39,0,0.735131912,6708.0,13,0,2,0,2.0
0,0.023460937,59,0,0.731461483,8333.0,17,0,4,0,0.0
0,0.194820868,56,0,762.0,,4,0,0,0,0.0
0,0.176460208,31,0,0.10471847,5700.0,8,0,0,0,0.0
0,0.033874421,54,0,2593.0,,7,0,3,0,
1,0.556851426,53,1,0.615190385,9900.0,14,0,3,0,0.0
0,0.41583131700000003,29,0,0.245020398,8333.0,7,0,1,0,0.0
1,0.5052784,62,0,0.414859252,6500.0,23,0,0,0,2.0
0,0.0,58,0,2397.0,,7,0,1,0,
0,0.051132767999999995,69,0,0.225419664,2501.0,3,0,0,0,0.0
0,0.523231785,29,0,347.0,0.0,5,0,0,0,2.0
0,0.47137643100000004,39,0,0.959550562,5339.0,6,0,1,0,0.0
0,0.216677672,32,0,0.18931872600000002,2920.0,6,0,0,0,1.0
0,0.92040398,39,0,0.6760370240000001,2916.0,6,0,2,0,2.0
0,0.41891621700000004,27,0,0.22659213399999997,5008.0,6,0,0,0,0.0
0,0.06399566799999999,55,0,0.19183330199999998,10701.0,13,0,1,0,2.0
0,0.91206544,40,1,0.551641313,2497.0,5,0,0,0,4.0
0,0.9999998999999999,47,0,0.418290855,2000.0,2,0,1,0,2.0
0,0.728481313,47,0,0.98863995,6337.0,11,0,3,0,2.0
0,0.11393447400000001,41,0,0.257820311,7000.0,7,0,1,0,1.0
0,0.266914824,47,0,0.974102681,2200.0,13,0,2,1,1.0
0,0.777875329,48,0,0.51069786,5000.0,11,0,2,0,1.0
0,0.052371522000000004,56,0,0.011134308,7184.0,2,0,0,0,0.0
0,0.6750183359999999,34,0,0.765110387,5525.0,11,0,2,0,2.0
0,0.056773468,81,0,1319.0,,4,0,1,0,
1,0.565141887,37,0,0.74625075,5000.0,8,0,1,0,2.0
0,0.525611717,45,1,0.20087402,6635.0,15,0,0,0,2.0
0,0.08441663199999999,47,0,0.19199616,16666.0,5,0,2,0,2.0
0,0.0,55,0,0.39658694899999997,8320.0,5,0,1,0,1.0
0,0.308043154,36,0,0.853733269,6200.0,11,0,2,0,0.0
0,0.9999998999999999,31,0,0.0,2666.0,0,0,0,0,2.0
0,0.088622326,45,0,0.226201134,3350.0,4,0,0,0,2.0
0,0.107923781,46,0,0.34304120299999996,7450.0,14,0,2,0,1.0
0,0.42498653700000005,60,0,0.615769176,7000.0,15,0,2,0,0.0
0,0.987937967,45,0,0.687453416,4024.0,8,3,1,0,4.0
1,0.97872026,46,0,1.222168752,6233.0,7,1,2,1,1.0
0,0.545030331,48,0,0.7389469009999999,4500.0,6,0,3,0,0.0
0,0.000355926,63,0,0.22525611199999998,24500.0,10,0,2,0,3.0
0,0.0,58,1,0.350839776,3750.0,11,0,1,0,0.0
0,0.011996718,53,0,0.363000636,12583.0,19,0,2,0,2.0
0,0.003004975,66,0,0.000939261,3193.0,3,0,0,0,0.0
0,0.584303119,44,0,7806.0,,14,0,4,0,2.0
0,0.062613821,62,0,745.0,,10,0,1,0,0.0
0,0.70857316,33,1,0.66208589,4074.0,10,1,1,0,0.0
0,0.278891883,62,0,0.429077018,17800.0,14,0,4,0,1.0
0,0.256364895,41,0,1272.0,,5,0,1,0,0.0
1,0.042165085,64,2,0.194083996,7166.0,13,1,0,0,2.0
0,0.03125625,52,0,0.28314431,5113.0,16,0,1,0,0.0
0,0.536027898,60,0,0.5464949929999999,2795.0,7,0,0,0,0.0
0,0.23423393399999998,74,0,0.466435421,4900.0,12,0,1,0,1.0
0,0.05699918599999999,80,0,2853.0,,11,0,1,0,0.0
0,0.017255171,35,0,2.089344262,1219.0,12,1,1,0,3.0
0,0.5220535860000001,55,0,0.071232192,4000.0,2,0,0,0,0.0
0,0.0,64,0,0.0,7500.0,3,0,0,0,0.0
0,0.805029764,62,0,0.429883815,3700.0,19,0,0,0,0.0
1,1.738768719,39,0,0.06682452,3800.0,4,2,0,1,1.0
0,0.0064731680000000005,44,0,0.244049383,10124.0,6,0,3,0,8.0
0,0.47185578100000003,27,0,0.485966936,2600.0,7,0,0,0,1.0
0,0.9999998999999999,40,0,0.010497376000000001,4000.0,0,1,0,0,1.0
0,0.088225305,78,0,0.14802726300000002,10416.0,9,0,1,0,1.0
0,0.808794137,31,0,0.473233405,1400.0,5,0,0,0,0.0
0,0.5581104720000001,42,0,0.038080334,3833.0,4,0,0,0,4.0
0,0.6833970340000001,50,1,0.811337732,3333.0,9,0,1,0,0.0
0,0.302227225,64,0,0.189887119,6466.0,13,0,0,0,1.0
0,0.06311272,57,0,0.068586283,5000.0,17,0,0,0,0.0
0,0.310161654,42,0,0.302080853,21000.0,12,0,1,0,2.0
0,0.567264526,40,0,0.36973623299999997,2160.0,5,0,0,0,0.0
0,0.0,57,0,0.173841308,6666.0,10,0,1,0,0.0
0,0.060100814,67,0,0.162924152,4007.0,7,0,0,0,0.0
0,0.0,40,0,0.37965862,9900.0,5,0,1,0,1.0
1,0.112222092,59,3,0.517015958,5200.0,9,0,2,0,0.0
0,0.0,55,0,0.105309931,4500.0,7,0,0,0,1.0
0,0.015323631,44,0,0.208842195,18750.0,9,0,3,0,2.0
0,0.199933356,88,0,0.002571061,7000.0,4,0,0,0,0.0
0,0.232671242,71,0,0.182082043,5167.0,7,0,1,0,0.0
0,0.9999998999999999,40,0,60.0,,0,0,0,0,
0,0.080661289,52,0,0.157077393,11783.0,14,0,1,0,2.0
1,0.9999998999999999,25,0,0.2951438,2120.0,4,1,0,0,0.0
0,0.012557779,56,0,36.0,,13,0,0,0,0.0
0,0.803576075,70,0,1305.0,,8,0,0,0,0.0
1,0.11660279300000001,40,0,0.42487684700000006,2435.0,7,0,0,0,2.0
0,0.277063874,70,1,0.41622115,7668.0,20,0,2,0,0.0
0,0.17224272100000002,50,0,0.339196445,5400.0,11,0,2,0,3.0
0,0.523573821,36,0,0.15491100900000002,4550.0,4,0,0,0,0.0
0,0.953708605,65,1,0.410904024,5740.0,11,0,2,0,0.0
1,1.8911693509999998,63,0,0.28077192300000003,10000.0,8,0,1,0,0.0
0,0.0050432590000000005,43,0,0.23774098100000002,12500.0,4,0,1,0,1.0
1,0.18243440800000002,40,1,0.836034519,4750.0,21,0,1,0,1.0
1,0.89647667,38,0,0.311935067,5420.0,9,0,1,0,2.0
0,0.6642696060000001,68,0,0.506615701,3400.0,11,0,2,0,0.0
0,0.036574452,67,0,0.532167108,8688.0,18,0,1,0,1.0
0,0.11349814800000001,54,0,1.043970686,1500.0,13,0,1,0,1.0
0,0.13013807300000002,25,0,24.0,,2,0,0,0,
0,0.07219992,52,0,0.166365108,10500.0,16,0,2,0,0.0
0,0.016206586000000002,69,0,0.003004447,8320.0,3,0,0,0,0.0
0,0.294369743,36,0,0.634356762,3940.0,16,0,2,0,0.0
0,0.042382985,68,0,0.271654018,8300.0,8,0,3,0,1.0
0,0.9999998999999999,32,0,579.0,,1,0,1,0,0.0
0,0.026425668,65,0,0.103089691,10000.0,10,0,1,0,1.0
0,0.015477552,66,0,0.151561044,8583.0,4,0,1,0,0.0
0,0.019754535,76,0,0.549209646,8666.0,16,0,2,0,0.0
0,0.9999998999999999,45,1,0.121491734,2600.0,1,0,0,0,0.0
0,0.9999998999999999,36,0,0.013433302,3200.0,5,2,0,0,1.0
0,0.050590885999999995,36,0,0.862627475,3333.0,8,0,2,0,0.0
0,0.468569267,65,0,0.328431949,8500.0,8,0,2,0,0.0
0,0.051582882000000004,56,0,0.481599778,7200.0,8,0,2,0,3.0
0,0.35888567299999996,60,0,0.65378543,13300.0,17,0,2,0,0.0
0,594.0,58,0,0.310692093,14000.0,5,0,1,0,1.0
0,0.24702199800000002,57,0,0.44759810299999997,14550.0,11,0,4,0,0.0
0,0.01682039,50,0,0.129980003,6500.0,18,0,0,0,0.0
0,0.025571503,54,0,0.23416608,5683.0,6,0,1,0,0.0
0,0.125823247,52,0,0.180296811,9500.0,4,0,1,0,2.0
1,0.022324442000000003,74,0,0.745848865,2950.0,9,1,2,0,0.0
1,0.46511627899999997,47,5,0.245709502,7166.0,4,1,1,0,1.0
0,0.14455287,66,0,0.188176763,6833.0,15,0,0,0,0.0
0,0.661935685,54,0,1.048671402,3800.0,15,0,1,0,0.0
0,0.024315418999999998,87,0,109.0,,5,0,0,0,0.0
0,0.076086747,51,0,0.620088352,4300.0,18,0,1,0,0.0
0,0.36573074200000005,60,0,0.669504644,2583.0,11,0,2,0,0.0
